iter	Passed	Remaining
410	3485	4994
411	3492	4984
412	3502	4977
413	3510	4968
414	3519	4961
415	3531	4957
416	3539	4947
417	3548	4940
418	3555	4930
419	3563	4921
420	3572	4913
421	3586	4912
422	3597	4907
423	3606	4899
424	3618	4896
425	3629	4891
426	3636	4880
427	3643	4868
428	3648	4856
429	3654	4844
430	3661	4833
431	3666	4821
432	3672	4809
433	3678	4797
434	3684	4785
435	3689	4773
436	3696	4761
437	3702	4750
438	3710	4741
439	3718	4732
440	3726	4723
441	3733	4713
442	3744	4708
443	3752	4699
444	3763	4694
445	3770	4683
446	3780	4677
447	3786	4665
448	3799	4662
449	3814	4662
450	3828	4660
451	3844	4661
452	3853	4652
453	3864	4647
454	3873	4639
455	3883	4632
456	3893	4626
457	3900	4616
458	3910	4609
459	3918	4599
460	3928	4592
461	3934	4581
462	3945	4576
463	3956	4570
464	3963	4560
465	3971	4551
466	3978	4540
467	3986	4531
468	3994	4522
469	4003	4514
470	4013	4507
471	4024	4502
472	4031	4491
473	4041	4484
474	4047	4473
475	4057	4466
476	4063	4455
477	4073	4448
478	4080	4438
479	4093	4434
480	4103	4427
481	4109	4416
482	4117	4407
483	4125	4398
484	4132	4388
485	4140	4378
486	4146	4367
487	4156	4360
488	4164	4352
489	4172	4342
490	4177	4330
491	4187	4323
492	4193	4312
493	4203	4305
494	4209	4294
495	4219	4287
496	4225	4276
497	4235	4269
498	4241	4258
499	4250	4250
500	4257	4240
501	4267	4233
502	4274	4223
503	4284	4216
504	4291	4206
505	4300	4198
506	4306	4187
507	4316	4180
508	4323	4170
509	4334	4164
510	4351	4164
511	4358	4153
512	4367	4146
513	4373	4135
514	4383	4128
515	4390	4118
516	4400	4110
517	4406	4100
518	4416	4093
519	4422	4082
520	4432	4075
521	4438	4064
522	4448	4056
523	4454	4046
524	4464	4039
525	4470	4028
526	4480	4021
527	4487	4011
528	4496	4003
529	4503	3993
530	4514	3987
531	4521	3977
532	4530	3969
533	4536	3959
534	4548	3953
535	4557	3945
536	4565	3936
537	4570	3925
538	4580	3917
539	4587	3908
540	4598	3901
541	4606	3892
542	4614	3883
543	4623	3875
544	4630	3866
545	4640	3858
546	4648	3849
547	4657	3841
548	4663	3831
549	4673	3824
550	4682	3815
551	4693	3808
552	4699	3798
553	4710	3792
554	4718	3783
555	4726	3774
556	4732	3763
557	4741	3756
558	4748	3745
559	4758	3738
560	4763	3727
561	4774	3720
562	4781	3711
563	4790	3703
564	4796	3692
565	4807	3686
566	4814	3676
567	4823	3668
568	4829	3658
569	4841	3652
570	4850	3644
571	4857	3634
572	4863	3624
573	4872	3616
574	4879	3606
575	4888	3598
576	4894	3587
577	4904	3581
578	4911	3571
579	4920	3562
580	4926	3552
581	4934	3544
582	4941	3534
583	4948	3525
584	4955	3515
585	4961	3505
586	4969	3496
587	4975	3486
588	4985	3478
589	4991	3468
590	5000	3460
591	5005	3449
592	5013	3440
593	5020	3431
594	5026	3421
595	5034	3412
596	5039	3401
597	5048	3393
598	5054	3383
599	5062	3374
600	5068	3364
601	5074	3354
602	5082	3346
603	5088	3336
604	5099	3329
605	5105	3319
606	5114	3311
607	5120	3301
608	5127	3291
609	5132	3281
610	5138	3271
611	5146	3262
612	5153	3253
613	5162	3245
614	5168	3235
615	5173	3225
616	5181	3216
617	5187	3206
618	5194	3196
619	5200	3187
620	5206	3177
621	5212	3167
622	5218	3158
623	5227	3150
624	5234	3140
625	5242	3131
626	5248	3122
627	5254	3112
628	5261	3103
629	5267	3093
630	5274	3084
631	5280	3074
632	5286	3064
633	5293	3056
634	5299	3046
635	5313	3041
636	5321	3032
637	5327	3023
638	5335	3014
639	5343	3005
640	5349	2995
641	5358	2987
642	5363	2978
643	5374	2970
644	5382	2962
645	5391	2954
646	5399	2945
647	5407	2937
648	5413	2927
649	5422	2919
650	5429	2910
651	5441	2904
652	5447	2894
653	5457	2887
654	5466	2879
655	5472	2869
656	5478	2860
657	5484	2850
658	5490	2841
659	5496	2831
660	5502	2821
661	5508	2812
662	5515	2803
663	5523	2795
664	5530	2786
665	5539	2778
666	5548	2769
667	5555	2760
668	5561	2751
669	5572	2744
670	5581	2736
671	5602	2734
672	5618	2729
673	5634	2725
674	5648	2719
675	5663	2714
676	5686	2713
677	5700	2707
678	5713	2701
679	5721	2692
680	5729	2683
681	5737	2675
682	5748	2668
683	5755	2659
684	5766	2651
685	5774	2643
686	5785	2635
687	5793	2627
688	5800	2618
689	5806	2608
690	5816	2601
691	5824	2592
692	5837	2586
693	5847	2578
694	5854	2569
695	5865	2561
696	5873	2553
697	5885	2546
698	5896	2538
699	5903	2530
700	5915	2523
701	5924	2514
702	5936	2507
703	5947	2500
704	5953	2491
705	5964	2483
706	5970	2474
707	5981	2467
708	5993	2459
709	6006	2453
710	6016	2445
711	6029	2438
712	6037	2430
713	6047	2422
714	6059	2415
715	6066	2406
716	6078	2399
717	6088	2391
718	6097	2382
719	6106	2374
720	6112	2365
721	6127	2359
722	6137	2351
723	6144	2342
724	6149	2332
725	6158	2324
726	6164	2314
727	6174	2306
728	6180	2297
729	6192	2290
730	6200	2281
731	6208	2273
732	6214	2263
733	6224	2255
734	6229	2246
735	6239	2238
736	6246	2228
737	6255	2220
738	6261	2211
739	6271	2203
740	6277	2194
741	6286	2185
742	6293	2176
743	6301	2168
744	6308	2159
745	6315	2150
746	6324	2141
747	6334	2134
748	6341	2125
749	6348	2116
750	6355	2107
751	6361	2097
752	6370	2089
753	6376	2080
754	6387	2072
755	6393	2063
756	6402	2055
757	6409	2046
758	6418	2037
759	6424	2028
760	6433	2020
761	6440	2011
762	6448	2002
763	6455	1993
764	6461	1984
765	6469	1976
766	6475	1967
767	6484	1958
768	6490	1949
769	6500	1941
770	6506	1932
771	6516	1924
772	6523	1915
773	6532	1907
774	6539	1898
775	6548	1890
776	6554	1881
777	6565	1873
778	6571	1864
779	6584	1857
780	6591	1848
781	6599	1839
782	6605	1830
783	6614	1822
784	6621	1813
785	6632	1805
786	6638	1796
787	6648	1788
788	6654	1779
789	6664	1771
790	6670	1762
791	6679	1754
792	6685	1745
793	6693	1736
794	6700	1727
795	6707	1718
796	6714	1710
797	6720	1701
798	6728	1692
799	6736	1684
800	6744	1675
801	6749	1666
802	6757	1657
803	6764	1649
804	6770	1640
805	6779	1631
806	6786	1622
807	6794	1614
808	6800	1605
809	6809	1597
810	6815	1588
811	6822	1579
812	6830	1571
813	6838	1562
814	6843	1553
815	6849	1544
816	6857	1535
817	6864	1527
818	6872	1518
819	6877	1509
820	6883	1500
821	6890	1492
822	6896	1483
823	6903	1474
824	6909	1465
825	6915	1456
826	6923	1448
827	6929	1439
828	6936	1430
829	6942	1422
830	6948	1413
831	6956	1404
832	6963	1396
833	6972	1387
834	6978	1379
835	6987	1370
836	6994	1362
837	7002	1353
838	7008	1344
839	7016	1336
840	7023	1327
841	7029	1319
842	7041	1311
843	7049	1302
844	7057	1294
845	7065	1286
846	7072	1277
847	7078	1268
848	7095	1261
849	7106	1254
850	7118	1246
851	7127	1238
852	7137	1230
853	7144	1221
854	7151	1212
855	7158	1204
856	7165	1195
857	7173	1187
858	7181	1178
859	7189	1170
860	7198	1162
861	7204	1153
862	7214	1145
863	7220	1136
864	7228	1128
865	7236	1119
866	7243	1111
867	7250	1102
868	7256	1093
869	7265	1085
870	7272	1077
871	7281	1068
872	7287	1060
873	7295	1051
874	7301	1043
875	7306	1034
876	7314	1025
877	7320	1017
878	7326	1008
879	7334	1000
880	7341	991
881	7347	982
882	7353	974
883	7360	965
884	7366	957
885	7372	948
886	7378	939
887	7384	931
888	7391	922
889	7397	914
890	7402	905
891	7409	897
892	7415	888
893	7422	880
894	7429	871
895	7436	863
896	7442	854
897	7449	846
898	7457	837
899	7465	829
900	7473	821
901	7480	812
902	7486	804
903	7495	795
904	7502	787
905	7510	779
906	7517	770
907	7524	762
908	7532	754
909	7539	745
910	7545	737
911	7552	728
912	7560	720
913	7570	712
914	7577	703
915	7588	695
916	7596	687
917	7604	679
918	7611	670
919	7619	662
920	7627	654
921	7633	645
922	7641	637
923	7648	629
924	7655	620
925	7661	612
926	7668	603
927	7675	595
928	7681	587
929	7689	578
930	7695	570
931	7702	561
932	7708	553
933	7714	545
934	7721	536
935	7728	528
936	7735	520
937	7741	511
938	7747	503
939	7754	494
940	7760	486
941	7767	478
942	7773	469
943	7780	461
944	7786	453
945	7793	444
946	7800	436
947	7806	428
948	7812	419
949	7819	411
950	7827	403
951	7835	395
952	7842	386
953	7849	378
954	7855	370
955	7861	361
956	7867	353
957	7874	345
958	7880	336
959	7886	328
960	7892	320
961	7898	312
962	7905	303
963	7911	295
964	7917	287
965	7924	278
966	7930	270
967	7937	262
968	7951	254
969	7957	246
970	7964	237
971	7971	229
972	7977	221
973	7984	213
974	7990	204
975	7998	196
976	8005	188
977	8019	180
978	8028	172
979	8037	164
980	8046	155
981	8052	147
982	8060	139
983	8067	131
984	8073	122
985	8083	114
986	8089	106
987	8096	98
988	8102	90
989	8110	81
990	8116	73
991	8121	65
992	8130	57
993	8137	49
994	8145	40
995	8151	32
996	8160	24
997	8166	16
998	8174	8
999	8181	0
